reviewId,content,sentimentScore
4609c646-68ca-45ba-b5b2-cb35dc112a00,Great calendar!,5
b8c1ac88-a9fd-48f0-9edf-2b6f71014eb8,Love how simple and minimalist this calendar app is. it's exactly what I needed.,5
d8e8aef6-ebd7-4a54-8cb7-ee59b546bc82,Really nice snd easy calendar to use. Would highly recommend.,5
332d8629-b32c-41e8-a980-4b7227508c83,Thank you for Simple Calendar,5
6eb10a53-4859-463e-98e8-f0e8c571d1c9,Great organization app,5
061768fb-b5da-41b8-ae20-3b9e20c97b7f,Easy to use!,5
0cb2b167-101d-4ab5-9a94-bd8cdc62739d,Very good app. I'm enjoying using it.,5
843f41a8-3b0e-485a-a38d-11626e0329f7,"Simple and clean. No syncing with Google. Free. Just what I needed. Haven't explored this app fully yet, but will install.",5
6409db62-d024-4ee5-9c0e-405284147631,"Love that this app is simple, easy to use and doesn't need to integrate with other calendars. We tried 4 before we found this one, none of them worked properly or they insisted on integrating with another calendar. Now my daughter can have her events on her calendar. Her events aren't filling up my calendar and she can't see what is on my Google calendar. Thank you!! Two thumbs up and Five stars!!!! :star-struck:",5
5882c90e-6535-4134-b17b-aa5dde4b13bd,"Best calendar app, period. I've tried SOO many apps and this one wins by far. It's amazing",5
ea7037d2-ee82-4e16-ac04-2779394ddfd9,I never know what day it is so I needed a nice looking widget for my home screen to remind me everytime I unlock my phone. I don't like the google or outlook ones because I feel they unnecessarily complicate things so this gem of an app is my saviour. It's so pretty and I love the functionality and most of all the lack of account making. I will tell anyone who will listen about how long ive been searching for exactly this! Love it and thank you :pink_heart:,5
18d83b14-9004-497a-8111-177a30256660,very good,5
fa216030-69b8-4078-95f7-5198b10cd31f,I love it! It's neat and simple,5
01d41500-ee98-4cdc-ae90-747d3981ec99,easy to use,5
bb577484-d632-44bd-bd60-d80eca68e0c9,Love the simplicity of this app:thumbs_up:,5
bddcb418-3b81-4b7f-b8ea-acd5819f7e31,Por ahora todo muy bien. Me gusta.,5
3c2cb47a-6160-4b26-9a4d-537caa346b7a,love this calender easy to use and easy to see appointments with colour codes,5
586e7af7-f562-4391-abfc-8824a0d89287,"its great, especially June. March is great too.",5
1fae7aff-0554-4172-84c4-b5392e9c07fc,This app is great! I can colour coffee my events and can view my week at a glance. The previous app I tried had annoying adverts every time I opened my diary.,5
d3db3b82-b5bf-4afc-aaad-6f0b3e107f6c,One of the best and most convenient apps I've ever used. Doesn't have any excess and unmanageable features. You can just add your events and time if needed and can also colour code them as per your wish.,5
669c268b-3c62-4371-b67d-bd600b561a82,:two_hearts::face_blowing_a_kiss: love it .,5
fbb811c2-5d41-4394-8ee7-f003947c19e1,"Such a clean and simple tool! It would be ad free and with a sleek and clean design too. If someone were to need a simple calendar application this would be highly recommended. Also since it would not be filled with spam or ads it makes the entire experience far more pleasant, all in all. After browsing for other similar calendar applications this had to make a return for it could not be easily replaced. Highly recommended.",5
1ee01a01-62e8-4aa1-b35c-a05f04e5c9a8,"literally a life saver. no ads, simplistic, functional,,, i genuinely don't know where i'd be w/o it. probably one of the best calendar apps out there. :fire::fire::fire::hundred_points:",5
b8a5856f-5d55-4e89-9a4c-0fddb315a35d,"Great app, so easy to use.",5
046a8faa-85c4-40fd-a87a-759a1cc24817,"Great app for a calendar, easy to u se :thumbs_up:",5
6204184e-1f24-4bb8-acf1-26ec5fd7cc16,I love this app! It's very cute and keeps me organized. I have just a regular calendar book and I always forget to jot things in it. So this app is very helpful. When I want to clean a part of the house I'll jot it down on a day and time I want to try and clean. And it will remind me. And If I'm busy at that moment I will move the time down a little or move it to the next day. And I have put a widget on my screen so I don't forget to jot stuff in it. So I see it on my phone every day.,5
09665417-594b-46b7-b013-cd8ca8c2c788,I really love this app. it has no ads and has such a clean UI. The feature that i like the most is i can just click the dates when the events occur (if they're repeating events). highly recommended app :yellow_heart::yellow_heart::yellow_heart:,5
88da82eb-f3a1-4ed8-9693-560369429736,i absolutely love this app! i love how simple & easy it is to use! and there's no ads! i also really love the feature that takes you to your maps when you add a location to an event!,5
27b515cb-4e9a-48c7-8230-9b81115a2f99,nice ui!,5
2d65c038-10bd-43d0-ab5e-6b0152385468,Exactly what I was looking for. a simple calendar I don't need to log into an account. it feels like the whiteboard equivalent of a calendar that's not super complicated.,5
c829866c-d05b-4b1e-ae06-29ebe20009aa,"I think it's a great app it's set up wonderfully, and it's easy to use",5
3c987331-5a10-46fa-93ec-f61165be02bb,"Almost perfect.:smiling_face_with_open_hands: I suggest you add the option to change Date format like in Text, example: 06/2024 to June 2024. All in all, this is the best calendar I've found here so far.:clapping_hands::clapping_hands::clapping_hands::beating_heart:",5
6e01873f-ed52-4aef-9030-324dd6948090,Great app. Thank you. Please add an option to hide other month on horizontal position.,5
1a39af31-9596-4c8c-b0d5-68df4e695fa9,This app is more convenient to use and ads are arranged in proper way and not irritating,5
94ddeb95-5a92-4653-bed7-e5f06a50efe4,ใช้งานง่าย หน้าจอสะอาดไม่รก ไม่ติดโฆษณา ตัวไอคอนแอพก็มินิมอล ใครสายมินิมอลเน้นใช้งานง่ายๆโล่งๆสะอาดตาต้องชอบๆแน่นอน,5
ca76e4f6-5b31-4468-9bab-cc2c32be2636,This calendar is very simple to figure out and there aren't any problems that I have seen with it. Highly recommend if you are looking for a simple but cute calendar!,5
6a309fb1-941a-4f1f-9bb0-f109f45a9345,awesome,5
d7a4ee31-2049-4459-b908-40fb7b9d9891,love the simplicity and freedom to not connect to google account calendar,5
e773bb87-c831-4a29-9627-f4e7bc80071b,easy to read,5
1dfe7551-893c-466e-94e7-48c928b4c920,Love it! So easy to use,5
195509a4-d836-4766-9611-1bf1808092e3,"Straight forward and simple, love it. Especially that it can have a task go over multiple days (unlike google calendar :eyes:). Totally recommend.",5
a1be2ab3-2636-4e48-92eb-f187d40ef944,really helpful application,5
93d3d0e9-c974-4477-917a-f5ae8fd2286b,love you :two_hearts:,5
200131a3-3a22-4a99-a4c8-50f9c9d04a37,i love this app. it has no ads. you can color code your information and choose the grid for the dates. the instructions are very clear and the app is very easy to use,5
36b60112-dfae-435a-92c5-4c77fef97b7a,beautiful I love the beauty of simplicity. so refreshing.,5
5f536827-23b0-4be4-9de9-3d9e1c4520f5,Simple app with simple functional view. I can easily switch from monthly view to weekly or daily view. Easily categorized with different colors. Easy to input duration. Very helpful.,5
bcb4d070-ffa2-4496-a1db-69e8eccec562,The UI is beautiful and simple. Best phone calendar I've ever used,5
eb78ee76-5302-4675-9ada-59b498484c92,Love this calendar app! Very professional looking and easy to use.,5
7bb95ff5-b3b8-4288-b1d5-6f87384f1722,"Woohoo, ye ha, yeah baby!",5
