reviewId,content,sentimentScore
dadebc3c-5a0d-40e7-8c12-b3c0edcc6775,This app is chalti phirti cocaine :woman’s_hat:,1
b75498e5-461a-4b10-843a-9cb241de638d,Upgrade your notification system...it is disgusting,1
9072b14d-57de-4d9f-8f0a-5dfd333a1e5f,Doesnt sync with collaborator.,1
d62b1c12-14a6-47c7-9bec-e81d11c70368,"Using this app for 1 year for free and another 3 years in subscription. I think this says a lot. I'm also 92% productive user, so I can say that everything I do is on tick tick and not in my brain.",1
e4081e25-8df7-40f6-b575-e200713b5f41,Integrate with google calendar is not free,1
b6b22917-5d31-427c-be3c-5f03806d3aa9,deactivate,1
ad0da1cf-1fc6-41c2-a8a4-9834efb4164a,Worst experince ever,1
2ea5cd51-acf6-4729-af38-5775d7534be6,Ticktick all you want. The hazing happens even when my tasks are done. Scam.,1
36beb0b5-22c8-49fe-9c37-61bc5d02fccb,"Plays notification sound with no indication as to what it is, bypassing the notifications being disabled in system. For no reason. There is no reason to ping my device just to ping my device. It does this while also bypassing the ""Allow running in background"" options from Android. Most pathetic excuse for a task list ever, no respect of system settings for features that make no sense to be enabled by default.",1
fab33098-2133-4663-9089-7de5a53e2b77,I have paid for the subscription but it's not active. Please help.,1
ecafb052-a109-439c-9c1f-b1adc9434319,"paid app now, and so expensive",1
5adf2e94-9d58-47cc-8849-647bc8373315,If you do the free trail and forget to unsubscribe you pay a yearly subscription Personally not fan of predatory behavior,1
32fcf5db-1d4c-427d-96f8-853c829dae5d,Норм,1
ce5bc8dc-850b-4276-a0cc-0df5eee4cb13,"There is no such thing as ""events"" in the Calendar. No option to set different time for different dates for the same item. No option to find tasks or see all the tasks arranged by the creation date. No basic functional for texts lines merge conflicts resolving (Google Keep has it). Incorrect grouping tasks by multiple tags. No way to backup attached files! I have a paid subscription. Found many bugs. Nothing fixed for months. Terrible attitude towards customers.",1
85a1e761-e52e-45e8-8219-4324ebba49d5,"After the latest update, Reminder added from widget is not working. Task is adding but reminder is not adding.",1
6e2322c2-98d6-4489-a5cf-766a0383fe15,"Revoke my 5 star rating. Updated to android 14 and even before then, there's been issues. Got a newer update that makes things a bit better but the app is slow to respond most times and almost always ""stops working"" and I have to close app, making it borderline unusable.",1
9508da31-144f-4413-a390-41505abcc269,"Your pricing scheme is horrible! You should have a one time purchase price! If you did, you'd have me as a customer. Because of this, I'm forced to use another application that does unfortunately.",1
144eaa0a-43b3-4e38-b587-7a7284099617,I loaded this on my Mac and also Android phone. I entered a task. All it seemed to do is let me do is look at the 3-word task. I'd have to upgrade and pay just to look at the task on the calendar. What a waste of time.,1
7f727e49-9599-4081-9515-9f1c54f281c0,"Now pay walled, unable to use it",1
2a51d3a9-9bf7-4b97-80d8-c1c8f14f9fb5,Still makes loud noises even with the app's notifications disabled at the OS level. Unacceptable; please fix.,1
1b5b3b94-bac9-42d7-acfb-24c51c212735,Awful,1
37f0ca9e-908c-4764-8861-3d9cd584c765,"Small whishes.. remove letter ""D"" in day left ex 10D looks like 100 etc",1
846ae71a-6eac-4a50-b035-f1e0b41b52ec,Worst aap only for premium,1
ab1c2847-fdf4-4397-8813-677357a6e407,You broken the time recognisation function. It was over 9am and i typed 9am. It should recognised next day 9am. But now it gave error.,1
f98a444e-4534-4cfd-ac33-b5ee952c167f,"Takes over alarm app shortcut, unacceptable.",1
7d208189-a1eb-4c6f-b106-b583da2d8e06,What gives with the notifications? They aren't being triggered unless you open the app.. I will considering switching to another app if it isn't fixed in the next update,1
c4a32ec0-90c1-460c-bbcb-7340a7a0e401,Missed tasks. Reminders not working!,1
0cf376dc-9e8f-49e0-a350-c26bd40eaa46,Don't use,1
3035c0a0-ba3b-4633-8f1e-64b307b77e6e,Sent email to developers about a privacy concern and never heard back. App attempts to collect metrics via Google and Bugsnag from users at least 1 request/second while running (more than 10 times any other app I have installed). Customers don't want or need that frequency of communication.,1
d250b3e9-2f83-43ad-8a4a-94020d8169c7,"It's a subpar note taking app. Why in the world are you charging for a yearly subscription? Greedy developers nowadays, think they are Spotify or Audiable and think they can charge a subscription. It should be a 3 dollar one time payment app at max. There is no constant development or service requiring a constant payment. It's just an app that can be developed in less than a week.",1
8dfd8f1c-2863-471a-8b2f-a89c49d26fea,Making it rediculously hard to cancel. Malpractice.,1
cc808c10-e317-4f27-9e23-a4948f32fce5,Didn't subscribed it. The free features themselves are so helpful to customize my days and Pomodoro helps to kee pushing myself and to be consistent. Thankyou.,1
3c140b06-eff5-40b4-ab3d-7b92a72bb919,"My TODO LIST FOR MONTHS JUST DISAPPEARED ON IT'S OWN !!!! PLEASE HOW DO I GET IT BACK I HAVE MANY PLANS .ON IT AND I USED IT TO REVIEW MY PROGRESS , REDOING THEM ALL IS ALMOST IMPOSSIBLE, ESPECIALLY THE TASKS I ALREADY FINISHED",1
5731b197-d494-46ad-8ae8-27155ab9cc71,very very confused,1
ef9a6a28-42a8-40b2-a1f5-e449156495f5,Not getting notifications on watch 7. no issue on watch 5..,1
6b9c02f7-94e6-4828-af96-ede7c72c4e97,Don't download this bakwas app,1
fa7a2b1c-3808-4f6d-b3d7-78063ef96710,Unreliable. The app does NOT play audio when your reminder goes off. The screen lights up but there's no audio. I followed the instructions and made sure all the settings for my phone and Tick Tick we're correct but still no audio. Tick Tick needs to updated their suggestions because the current ones aren't fixing the problem. I'm on Android 12 using a Pixel 4A.,1
c71ccb84-96f6-46aa-ac47-938c417c6c06,Tried everything but notifications do not work which makes the app useless. Its a shame that I paid for an app that does not work. Layout also very messy and unprofessional design. Would like a refund.,1
48b4a8f2-3b37-4f02-81b3-7fc0bc535a47,Review popups are garbage,1
c7f24bd0-beea-4543-b512-1f9659481c45,"Is this a free app, paid version or only 7 days free trial? Actually I have heard about this app from online videos. So want to use it but not able to use premium version. That's why want to know free or paid?",1
476c46e1-3e34-40f7-be3a-4d8d6d4134a5,"Minimizes YouTube and dominates screen, which is annoying. Alert me, don't dominate my device! Tiny, Hard to see. ""Complete"" and ""Snooze"" buttons are reversed on diff pop ups!! Sloppy programming. Let me tick off alarms without waiting for alarm to go off. There's no way to count them completed before the set time. Too easy to DELETE alarms accidentally, irrevocably, and there's no history or way to see what you accidentally deleted. Tempted to delete this app.",1
81a36044-ed0f-44c4-a00f-a54c40d170c6,This app is the biggest pain in my. I travel a lot & their timezone function does not work at all. It has a feature called floating time or fixed time. Neither work properly. I live right on the border of the Eastern and Central time. Every time I leave eastern and enter Central my whole entire schedule goes out of whack. I'll have double times in one slot and shifted times in others. If you travel don't buy it. I spend more time fixing it than following my schedule. And ofcourse no support,1
cd5cf31b-8b2b-455d-8ccb-708c5c55a996,"Please add feature to disable tasks and recurring tasks so that we don't have to delete them and add again when needed. I tried ""won't do"" feature but it removes only 1 tasks and not recurring tasks. Thanks.",1
800420d4-84d8-423a-b40f-131276aa7ee4,Not free. Couldn't even sign in with Google. Said it wasn't compatible with my device. Uninstall.,1
0a0fd8e9-f224-42fd-b425-da0ade79f62f,"Unfortunately,I am stopping using this application. I gave it 5 stars three years ago, but since then, there has been close to zero improvement. This is one of the best applications for planning, recording, etc., but as someone who mainly uses a smartwatch, the situation is tragic. I have sent feedback several times,but nothing has been done to improve the smartwatch application. We do not receive notification.I am giving 1 star to attract the attention of the people who have the power to change",1
692ecdd7-a22b-4fd4-a097-61178093335c,"Why is the keyboard so laggy in app? Edit, update fixed this!",1
e9967a10-3fa3-4732-b31c-c93134ca5ffb,"There's no way of exporting your task/list history, which makes this app essentially useless for record keeping and tracking purposes",1
a089bb42-6842-47c3-ae99-dfbac714abc2,Alara not given,1
071dcb91-1b58-4c9d-99a4-2fe1485d8a88,Why do you force everyone to sign up using Google or Facebook? Just NO! I was trying out your app and that is a red flag. I'm done.,1
1b942c0d-a4e3-40f3-aaf8-6e8659d8a395,:goat:,1
12012331-be3f-47c1-ae00-5450daaae429,Exception,1
f9c824f2-2e25-448f-89d3-1e8ad75319b0,It's ridiculous that I can't see my last week progress in Habit Tracker unless I pay for prime (3 euros per month). This is absolutely ridiculous!,1
5e01baf1-abf5-4e26-8d55-0fc9a73c8294,برنامه برای روزهای بعد ادامه نمی یابد.مجدد باید برنامه ریزی کرد.,1
8f8aceac-58c7-4a2c-996c-d9bb5aebdac2,"Be very wary. They took payments from my account for over a year, under a company name that has no relation to the app. Luckily my bank was able to identify the payments cancel these. The company refused to refund payments despite not using the app!",1
e1df8da6-df3d-4c58-94c5-2069777196bc,Can't sign up,1
073f2358-b02f-40b5-9dbd-f94b27b145b4,"I have canceled my subscription, and my card is still being charged.",1
af00d39d-0819-4970-ad41-60336d4f6d09,"Hi Team, I kove this app. Please do not charge existing free features. Current Review: Please Add Feature Insert picture with Task Last Review: Awesome",1
8a41f97e-9435-4232-8d84-cf83a7b6d10e,لماذا لا توجد اللغة العربية في التطبيق أضيفوها,1
18a12a0c-a939-4abe-b81b-7910a2f74b67,How to cancel?,1
8bdef5cc-b7d5-4629-a4d7-50dab8620820,"Pl integrate your app with phone contacts, so that reminder with respect to a specific person can be tagged with help of his contact....same like Any.do app... I have raised is point 3 months back also... Pl look into it...",1
1994563c-7acd-4e6b-9e7a-6f826770d6d2,كيف كانت الحياه بدونه كلمة رائع غير كافيه,1
5579bc14-c571-41b3-93d1-a37a010eb0f1,I don't get reminder notifications. I have Infinix note 10 pro,1
f643a1a2-3ce6-43b1-993f-a08e0ad7f53e,"I have forgetfullness I forget so many things I thought why I not download this app till thank you very much it is my friend no one can do good things to me than Tick Tick,Thank you so much,Nandri",1
e0844a55-5a4f-4e1e-8121-e3fdd0935485,"Es una broma de mal gusto que para poder ver el calendario como un calendario haya que pagar tanto. Y encima que carezca del botón de ""ir a fecha específica"". Felicidades a los creadores por el producto más inútil del universo!! :clapping_hands_light_skin_tone::clapping_hands_light_skin_tone:",1
b8e0acb7-d674-4099-91a5-eb99f9a288a4,To use the apps you need to subscribe or otherwise its totally useless..,1
6dc2797f-6d19-4293-bc76-427d97060324,I need a refund of this app! Im not using this app! The funds were taken from the wrong card! Please refund now!,1
c5173c32-e508-4cc1-9a55-062c3159d5c9,Really bad cannot get my daily tasks to work,1
f4b3b87c-4db5-4dde-a68a-b405ce47a89a,"I hear no alarm. I have done all the steps to make the app run in the backround and draw over other apps, disabled battery optimization.",1
f77e2fde-3f3c-4aaa-899b-2934b2bcb4dd,The only productive app that I've actually stuck to.,1
2bcdf39c-ba44-4c97-8a02-ce6c89238762,Does that dumb thing where it makes highlighted links when writing notes. Nobody needs that.,1
82da7870-90ac-494c-8dfd-166e8347d49c,Not free,1
91131a19-4c6e-4376-a6ab-dbf2000e23ac,There are not provided me the subscription after paying money and they also not give me my Refund amount with in 2 days of service.,1
6da0ef2d-1970-4594-8cea-08c68c37dac6,:white_heart::white_heart::white_heart:,1
160c0eb3-c3c0-4df3-9369-808b869436e3,"Are you kidding me. I down load a ""Planner/Callander app. I go set it all up and link it and try to see the month view too make sure everything's in there, but It says I have to upgrade & pay for a month calender View. Ok... Annoying ill just try 1 week view... . Same thing. Gotta pay. Calandar app with only 2 views for oveall use. This is an issue with all ""free"" apps that arent free. Paying just for Downloading isn't a thing so quit saying it's ""free"" to download!",1
ed4001c6-f0e2-445b-86a9-b53e0a24860e,"Started fine, deteriorated. Ap has taken itself to default adding a due time to any note added even if one is not wanted resulting in push notifications you also did not ask for but worse than that is incessant warnings the app is not up to date while trying to use it only to be told play store does not have an update while trying to get the latest version.",1
5236b31e-0baf-4ada-87d9-e1aceced9dfb,"I face a problem in collaboration section I have just one person to collaborat with me, but when I Wana to add second person , a warning appears which says you have already add 29 person in collaboration part. While I have just add one person. So this feature is totally useless :unamused_face:",1
3f7d4a0d-3ae6-4af3-a4dd-0bab005de25c,Notification does not work. Edited 4/1/24: Notification still does not work on wear OS. Pretty much useless on wear OS if you dont recieve any notication for tasks and due dates. Using Samsung Galaxy watch 6 classic.,1
7cf4e6af-9c5e-442a-b3ef-6467e35fa5ff,"Payment charged but I actually opted for free trial. The app does not proceed with free trial, but indeed they charged me directly!",1
52cd7cd0-0df4-44be-a92a-7500c4dbf47c,THE LATEST VERSION CHANGING KANBAN VIEW IN TABLETS IN LANDSCAPE MODE HAS MADE IT MORE CONFUSING AND UNPRODUTIVE THE MULTIPLE VIEW IN TABLETS ARE SO SMALL THAT IT MAKES NO SENSE AS YOU ARE NOT ABLE TO READ FULL TASK . EVERY TIME YOU HAVE TO CLICK AND THEN SEE FULL TASK WICH IS MAKING THIS APP USELESS,1
a10e7735-0ddc-495f-a10e-d6954786e763,very frustrating app 8 uninstalled it by mistake and all the data disappeared.,1
e311c540-8c17-4697-ba03-72b1185c7aba,Monthly fees are theft.,1
5e1a11f1-049e-40f7-82cb-36ce2c79059e,لا يقوم بتسجيل الدخول,1
635be79d-540d-4377-b1a1-a1baf66c9248,Kalender saya tidak muncul pada widget. Sudah saya centang semua pilihan tampilan di settingan widget namun tetap tidak muncul,1
8433a0be-2798-4bcd-b021-8b45c8107ced,Since I installed you guys back .there have been tracking attempts. Google : 2424 wow Bugsnag : 176 which i can understand. And why should I do Monetary support for you guys ?,1
d83d3d64-acf8-4597-be49-1d0706ae3ce2,I cannot log in with facebook,1
15cad089-cca0-49d1-b8e5-a6f85c811bbe,"I upgraded my phone, and the app won't sign into a new device!",1
1ed44f56-07fd-43a8-9690-b0996a212022,Honestly this app is pretty bad. It's hard to use and sells out with promotional adds to buy a premium version and rate it five stars.,1
cf76aceb-c07c-43e9-820b-a1b50e819ab7,Clunky and unintuitive. An absolute slog to use. Id rather use a notepad.,1
62d45fbf-fe29-4c52-b686-789557502893,Stick to notifications feature is not working and pop up reminders is not working.,1
0f9b4045-f976-4824-a962-9124eb303510,I can't sign in!!!!!,1
fad47d40-89c9-4330-807d-622521322f50,"Overcharged me, and an internet search calls it Chinese spyware. Didn't work as I'd hoped, either. Revoke priviledges, delete.",1
7e3682d3-ec43-4476-983e-9958fbf14ac0,Reminder pop up is not working on android devices..kindly check pls,1
c53aadf7-dd54-49fb-bc55-ef5595b6f25d,Please add one time purchase,1
fcf46562-6091-41e7-81c1-285454c3e193,My only task manager app...only issue RTL paragraph does not work on Mac desktop version.,1
09e15280-e4b7-4262-95f8-d1bd26b44c15,Had to edit this review. The app is just amazing and has brilliantly thought out features. Even the free version has rich functionality. Keep up the god work :thumbs_up:,1
